Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
1/3/2009,29.513,0,31,10.5,2.37,0.31,0
1/4/2009,29.513,0.4,31,11,1.99,0,0
1/5/2009,29.56,0,12.5,11,1.19,0.31,0
1/6/2009,29.56,0,23.5,9,0.98,0.38,0
1/7/2009,29.598,0,24.5,7,1.08,0.31,0
1/8/2009,29.64,0,29.5,6.5,1.45,0.13,0
1/9/2009,29.683,0,29.5,6.5,2.35,0.16,0
1/10/2009,29.683,0,26.5,8,2.69,0.34,0
1/11/2009,29.683,0,19,11,2.66,0.48,0
1/12/2009,29.683,0,22,3.5,1.68,0.32,0
1/13/2009,29.683,0,20.5,4,2.35,0.35,0
1/14/2009,29.64,0,21.5,2.5,2.71,0.42,0
1/15/2009,29.64,6.3,21.5,2,2.2,0.34,0
1/16/2009,29.683,13,14.5,5.5,1.39,0.37,0
1/17/2009,29.767,1,17,12.5,1.4,0.38,0
1/18/2009,29.81,0,24,9.5,0.56,0.42,0
1/19/2009,29.81,0,28,8.5,1.11,0.42,0
1/20/2009,29.81,0,27,6,1.98,0.41,0
1/21/2009,29.81,0,25,4,2.28,1.11,0
1/22/2009,29.767,0,27.5,4.5,2.34,0.41,0
1/23/2009,29.767,0,31,5,2.4,0.45,0
1/24/2009,29.767,0,28,11.5,2.69,0.41,0
1/25/2009,29.767,0,22,11,3.47,0.44,0
1/26/2009,29.767,0,26.5,10.5,2.98,0.42,0
1/27/2009,29.767,0,29.5,13,1.54,0.45,0
1/28/2009,29.767,0,20,12.5,1.51,0.42,0
1/29/2009,29.725,0,19.5,7,1.71,0.45,0
1/30/2009,29.683,0,18,8.5,1.83,0.41,0
1/31/2009,29.725,0,16.5,9,1.94,0.35,0
2/1/2009,29.683,0,28,8,1.03,0.32,0
2/2/2009,29.683,0,22.5,7.5,2.39,0.43,0
2/3/2009,29.683,0,26,2.5,2.1,0.32,0
2/4/2009,29.725,0,25.5,2.5,2.7,0.4,0
2/5/2009,29.683,0,26,4,2.06,0.42,0
2/6/2009,29.725,0,27,7,3.21,0.34,0
2/7/2009,29.725,0,26,7.5,3.45,0.34,0
2/8/2009,29.683,0,25,7.5,2.23,0.47,0
2/9/2009,29.683,0,29,10.5,2.2,0.44,0
2/10/2009,29.683,0,30.5,10.5,2.62,0.45,0
2/11/2009,29.64,0,26.5,11.5,3.47,0.46,0
2/12/2009,29.556,0,29,7,3.11,0.43,0
2/13/2009,29.513,0,32,7,4.89,0.46,0
2/14/2009,29.471,0,33,11,4.13,0.43,0
2/15/2009,29.429,6.7,20.5,13,4.8,0,0
2/16/2009,29.429,2.3,17.5,14,1.31,0.44,0
2/17/2009,29.471,0,26.5,14.5,0.78,0.4,0
2/18/2009,29.471,0,32,15,2.12,0.38,0
2/19/2009,29.429,0.3,20,15,3.71,0.33,0
2/20/2009,29.386,1.7,16,14,1.5,1.31,0
2/21/2009,29.471,0,27.5,13.5,1.28,0.34,0
2/22/2009,29.471,0,21.5,7,3.42,0.62,0
2/23/2009,29.513,0,25.5,4,2.75,0.33,0
2/24/2009,29.513,0,31,4,2.9,0.46,0
2/25/2009,29.556,0,36.5,7.5,4.43,0.56,0
2/26/2009,29.556,0,35.5,9.5,4.92,0.48,0
2/27/2009,29.556,0,40.5,11.5,3.1,0.5,0
2/28/2009,29.556,0,26.5,12.5,4.36,0.68,0
3/1/2009,29.556,0,23.5,7.5,5.21,0.22,0
3/2/2009,29.556,0,26.5,2.5,2.11,0.37,0
3/3/2009,29.556,0,30.5,2.5,4.32,0.49,0
3/4/2009,29.556,0,30.5,6,4.66,0.51,0
3/5/2009,29.556,0,30,9.5,4.21,0.49,0
3/6/2009,29.513,0,29.5,12.5,4.48,0.76,0
3/7/2009,29.513,0,30,13,3.05,0.49,0
3/8/2009,29.556,0,30.5,12.5,4.6,0.24,0
3/9/2009,29.556,0,30.5,16,2.41,0.56,0
3/10/2009,29.556,0,31.5,18.5,2.64,0.45,0
3/11/2009,29.556,5.6,25,18.5,3.39,0.58,0
3/12/2009,29.556,1.8,12,10.5,1.07,0.6,0
3/13/2009,29.556,3.7,15,8.5,1.06,0.5,0
3/14/2009,29.556,3.1,11.5,8.5,0.91,0.73,0
3/15/2009,29.556,0.7,15.5,8.5,0.43,0.75,0
3/16/2009,29.556,0,30,9,1.28,0.34,0
3/17/2009,29.598,0,24.5,11.5,2.54,0.46,0
3/18/2009,29.598,0,26.5,16.5,6.38,0.51,0
3/19/2009,29.598,0,30.5,12.5,2.31,0.3,0
3/20/2009,29.598,0,26.5,14,4.02,0.47,0
3/21/2009,29.598,0,28.5,16.5,3.87,0.31,0
3/22/2009,29.598,0,29,16.5,2.94,0.31,0
3/23/2009,29.598,0,31,17.5,2.91,0.31,0
3/24/2009,29.64,0,35,18,3.3,0.43,0
